x_value,total_1,total_2
0,1000,1000
1,1000,1002
2,998,1007
3,1005,1012
4,1004,1011
5,1006,1011
6,1001,1013
7,997,1013
8,995,1012
9,994,1015
10,996,1018
11,994,1023
12,991,1019
13,995,1024
14,998,1019
15,997,1017
16,994,1012
17,991,1007
18,997,1003
19,998,1003
20,993,1002
21,988,1003
22,991,1008
23,990,1013
24,998,1019
25,997,1023
26,996,1022
27,1002,1028
28,1001,1026
29,997,1031
30,1002,1035
31,1003,1037
32,1004,1039
33,1008,1035
34,1009,1041
35,1017,1042
36,1025,1039
37,1024,1038
38,1026,1042
39,1023,1038
40,1031,1040
41,1034,1045
42,1032,1045
43,1031,1040
44,1029,1036
45,1031,1039
46,1029,1037
47,1036,1037
48,1035,1039
49,1036,1035
50,1033,1034
51,1036,1036
52,1042,1031
53,1046,1029
54,1052,1028
55,1052,1033
56,1058,1031
57,1056,1033
58,1053,1028
59,1047,1033
60,1047,1031
61,1051,1028
62,1050,1031
63,1051,1036
